level_0,index,Unnamed: 0,Author,Coursename,Last_updated,Lectures,Newfee,Oldfee,Rating,Sections,Time,Topic,Target,_id,Number_of_enroll
10,0.006835269993164731,0.0066755674232309,0.21452145214521454,0.7535934291581109,0.8471528471528471,0.1011904761904761,0.2627702671035982,0.2222222222222221,1.0,0.0694444444444444,0.1118421052631578,0.4,0.11382113821138211,66f79d3af050d8d70ad2467b,0.9574468085106383
11,0.0075187969924812035,0.007343124165554,0.8960396039603961,0.9383983572895277,0.8181818181818182,0.0357142857142857,0.4734073336454273,0.4444444444444444,1.0,0.0694444444444444,0.5840643274853801,0.8,0.3407243163340724,66f79d3af050d8d70ad2467c,0.202127659574468
12,0.008202323991797676,0.0080106809078771,0.7772277227722773,0.9336071184120466,0.7992007992007992,0.0178571428571428,0.052133200561769,0.0,1.0,0.0277777777777777,0.1535087719298245,0.8,0.25203252032520324,66f79d3af050d8d70ad2467d,0.1382978723404255
13,0.00888585099111415,0.0086782376502002,0.22277227722772278,0.3264887063655031,0.06393606393606394,0.0833333333333333,0.2101110004681409,0.1666666666666666,1.0,0.0694444444444444,0.0826023391812865,0.8,0.6511456023651145,66f79d3af050d8d70ad2467e,0.4468085106382978
14,0.009569377990430623,0.0093457943925233,0.665016501650165,0.27104722792607805,0.8681318681318682,0.056547619047619,0.1047924671972263,0.0555555555555555,1.0,0.0694444444444444,0.1125730994152046,0.9333333333333333,0.09164818920916482,66f79d3af050d8d70ad2467f,0.6170212765957447
15,0.010252904989747095,0.0100133511348464,0.8283828382838284,0.023956194387405885,0.8551448551448552,0.056547619047619,0.3154295337390554,0.2777777777777778,1.0,0.0277777777777777,0.070906432748538,0.4666666666666667,0.8603104212860311,66f79d3af050d8d70ad24680,0.7234042553191489
16,0.010936431989063569,0.0106809078771695,0.132013201320132,0.38877481177275836,0.8651348651348651,0.3958333333333333,0.2627702671035982,0.2222222222222221,1.0,0.0277777777777777,0.6008771929824561,0.4666666666666667,0.1197339246119734,66f79d3af050d8d70ad24681,0.946808510638298
17,0.011619958988380042,0.0113484646194926,0.132013201320132,0.38809034907597534,0.8651348651348651,0.3928571428571428,0.2627702671035982,0.2222222222222221,1.0,0.0277777777777777,0.5014619883040936,0.4666666666666667,0.1197339246119734,66f79d3af050d8d70ad24682,0.3297872340425531
18,0.012303485987696514,0.0120160213618157,0.665016501650165,0.4079397672826831,0.8681318681318682,0.2202380952380952,0.3680888003745127,0.3333333333333332,1.0,0.1388888888888888,0.2697368421052631,0.06666666666666667,0.08943089430894309,66f79d3af050d8d70ad24683,0.5744680851063829
19,0.012987012987012988,0.0126835781041388,0.665016501650165,0.8432580424366872,0.8761238761238761,0.0922619047619047,0.1047924671972263,0.0555555555555555,1.0,0.0833333333333333,0.1461988304093567,0.9333333333333333,0.09534368070953436,66f79d3af050d8d70ad24684,0.8085106382978723
20,0.013670539986329461,0.0133511348464619,0.9504950495049505,0.3942505133470226,0.8721278721278721,0.0833333333333333,0.42074806700997,0.3888888888888888,1.0,0.0972222222222222,0.0840643274853801,0.4,0.9490022172949002,66f79d3af050d8d70ad24685,0.5106382978723404
21,0.014354066985645933,0.014018691588785,0.06930693069306931,0.2991101984941821,0.025974025974025976,0.2202380952380952,0.1574517338326836,0.2777777777777778,0.9,0.0694444444444444,0.2470760233918128,0.9333333333333333,0.6097560975609756,66f79d3af050d8d70ad24686,0.4255319148936169
22,0.015037593984962407,0.0146862483311081,0.6633663366336634,0.5359342915811088,0.3166833166833167,0.0922619047619047,0.1574517338326836,0.5833333333333334,1.0,0.0694444444444444,0.131578947368421,0.4,0.30303030303030304,66f79d3af050d8d70ad24687,0.1914893617021276
23,0.01572112098427888,0.0153538050734312,0.20627062706270627,0.5770020533880903,0.9240759240759241,0.0803571428571428,0.2101110004681409,0.1666666666666666,1.0,0.0694444444444444,0.1944444444444444,0.3333333333333333,0.11529933481152993,66f79d3af050d8d70ad24688,0.7340425531914894
24,0.016404647983595352,0.0166889185580774,0.8943894389438944,0.9349760438056126,0.9240759240759241,0.0446428571428571,0.42074806700997,0.3888888888888888,1.0,0.0694444444444444,0.5928362573099415,0.8,0.10273466371027347,66f79d3af050d8d70ad2468a,0.8723404255319148
25,0.017088174982911826,0.0173564753004005,0.8943894389438944,0.9342915811088296,0.9080919080919081,0.0744047619047619,0.1047924671972263,0.3333333333333332,0.9666666666666668,0.0555555555555555,0.5869883040935673,0.8,0.6821877309682187,66f79d3af050d8d70ad2468b,0.7234042553191489
